t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.947778819992763,7.217185117426764,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.0355940905737624,7.135346241247164,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,0.9541405958631497,7.231625010486189,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.0471545600177725,7.1396255824034105,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.1331212054134348,7.059120426665402,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,0.9604449844337717,7.235285830505545,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.1405753656756472,7.060469123813747,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,1.1453440157576376,7.064413073887327,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,0.9822254728128268,7.230286050855401,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.136974112796242,7.078900725679391,419430400,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,tx2_1,140134424576400
0.0,0.9837561904574841,7.233194029134253,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.04839703363041,7.17160605659962,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.0863516118683743,7.158191656088063,419430400,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,tx2_2,140134424581520
0.0,1.0049326501845215,7.241232608231837,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
0.0,1.3318934888755978,7.085930850788766,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,1.251571697197912,7.208744308560169,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,1.338847605100021,7.130739543658597,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,1.2970156470953667,7.184452433119003,419430400,resnet50-inference-residential,faas-workloads/resnet-inference-gpu,nano_14,140134427687856
0.0,1.226842336458411,7.267335681661757,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.375636845822581,7.120826398135075,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,1.3654352132172027,7.134137557718254,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,1.411886385166901,7.0878592258017195,419430400,resnet50-inference-commercial,faas-workloads/resnet-inference-gpu,nano_18,140134424387536
0.0,1.271209619262601,7.268793714182344,419430400,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,nx_5,140134427684512
0.0,1.2906654047977941,7.259595424951929,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,tx2_0,140134426549888
