value,name,image,function_id,node
deploy,python-pi,python-pi-cpu,140191910901072,server_0
deploy,python-pi,python-pi-cpu,140191910901072,server_0
deploy,resnet50-inference,resnet50-inference-gpu,140191910902224,server_0
